NCM,CO_PAIS,vl_fob_total,kg_liq_total,ISO3
10011100,163,29,4,CYP
10011100,249,83,7,USA
10011100,267,45,5,PHL
10011100,351,52,9,HKG
10011100,40,281,252,AGO
10011100,434,332,30,LBR
10011100,467,48,9,MLT
10011100,476,285,35,MHL
10011100,53,111,12,SAU
10011100,538,11,1,NOR
10011100,580,107,67,PAN
10011100,586,1606,429,PRY
10011100,628,30,4,GBR
10011100,63,583,583,ARG
10011100,756,356,356,ZAF
10011100,77,333,33,BHS
10011100,845,298,242,URY
10011100,97,706,579,BOL
10011900,249,833,500,USA
10011900,40,1280,1360,AGO
10011900,434,34,18,LBR
10011900,586,400,800,PRY
10011900,607,9458,8092,PRT
10011900,625,130,40,KGZ
10011900,628,419,240,GBR
10019100,586,223,311,PRY
10019100,63,2485,4565,ARG
10019100,756,151,207,ZAF
10019100,845,4780,6000,URY
10019100,97,4588,4000,BOL
10019900,161,603447,3547381,TWN
10019900,169,53387084,224410219,COL
10019900,190,56819527,303104818,KOR
10019900,198,22628,113140,KWT
10019900,239,151859476,625206721,ECU
10019900,240,15292257,46222264,EGY
10019900,267,273483688,1308219284,PHL
10019900,365,117899581,495566167,IDN
10019900,383,34891795,162209711,ISR
10019900,40,33512936,92319788,AGO
10019900,455,220145,1294970,MYS
10019900,474,88674866,301565624,MAR
10019900,488,43432036,173081070,MRT
10019900,493,5957491,19295190,MEX
10019900,505,3269745,11000009,MOZ
10019900,528,34968924,109500000,NGA
10019900,53,155735027,628300614,SAU
10019900,576,62939254,238202989,PAK
10019900,578,13316440,55114989,PSE
10019900,586,10835065,37264590,PRY
10019900,59,14791354,62219440,DZA
10019900,640,2548002,6999993,CAF
10019900,756,121182361,375529033,ZAF
10019900,759,93491975,285251004,SDN
10019900,776,148217458,612093560,THA
10019900,81,104629812,421942925,BGD
10019900,845,212382,621000,URY
10019900,850,60176407,212342038,VEN
10019900,858,565927413,2515018705,VNM
10019900,863,1152756,3718570,VGB
10019900,93,55029,282200,MMR
10029000,163,18,10,CYP
10029000,275,37,5,FRA
10029000,301,13,4,GRC
10029000,372,12,12,IRN
10029000,467,5,3,MLT
10029000,476,4,2,MHL
10029000,538,140,25,NOR
10029000,580,8,5,PAN
10029000,741,35,7,SGP
10029000,77,20,15,BHS
10029000,776,1504,297,THA
10039010,163,48,8,CYP
10039010,232,62,70,DNK
10039010,249,82,372,USA
10039010,351,658,252,HKG
10039010,434,1300,404,LBR
10039010,589,3,6,PER
10039010,764,37,100,SWE
10039080,137,20,10,CYM
10039080,158,24,10,CHL
10039080,163,84,38,CYP
10039080,293,53,20,GIB
10039080,351,57,23,HKG
10039080,359,9,5,IMN
10039080,372,34,22,IRN
10039080,43,66,25,ATG
10039080,434,875,348,LBR
10039080,467,107,39,MLT
10039080,476,610,247,MHL
10039080,538,34,14,NOR
10039080,575,20,10,PLW
10039080,580,68,32,PAN
10039080,607,78,31,PRT
10039080,625,65,20,KGZ
10039080,628,106,32,GBR
10039080,741,26,10,SGP
10039080,77,134,56,BHS
10039080,80,110,37,BHR
10039080,827,46,20,TUR
10039080,83,47,20,BRB
10039090,163,31,6,CYP
10039090,23,25,10,DEU
10039090,249,28,10,USA
10039090,293,17,3,GIB
10039090,351,266,31,HKG
10039090,434,185,22,LBR
10039090,467,7,2,MLT
10039090,476,251,49,MHL
10039090,676,13,5,RUS
10039090,741,51,15,SGP
10039090,77,33,13,BHS
10039090,850,9,4,VEN
10039090,87,32,4,BEL
10041000,275,186083,59223,FRA
10041000,309,230,200,GLP
10041000,331,1500,600,GNQ
10041000,399,1898501,2155500,JPN
10041000,40,46,40,AGO
10041000,505,79,30,MOZ
10041000,586,115630,68315,PRY
10041000,63,121390,277120,ARG
10041000,756,341582,588000,ZAF
10041000,845,312992,313164,URY
10049000,145,28,8,CMR
10049000,160,103,26,CHN
10049000,163,261,156,CYP
10049000,232,29,16,DNK
10049000,249,14,2,USA
10049000,267,14,22,PHL
10049000,275,29536,8000,FRA
10049000,301,202,50,GRC
10049000,351,1220,735,HKG
10049000,359,9,2,IMN
10049000,361,10,2,IND
10049000,386,19840,25911,ITA
10049000,399,34,7,JPN
10049000,40,1001,848,AGO
10049000,43,101,27,ATG
10049000,434,768,225,LBR
10049000,467,177,54,MLT
10049000,476,719,285,MHL
10049000,53,28,5,SAU
10049000,538,79,63,NOR
10049000,580,22934,52731,PAN
10049000,586,535278,877110,PRY
10049000,607,7,1,PRT
10049000,628,56,6,GBR
10049000,63,3600,12000,ARG
10049000,670,39,6,ROU
10049000,72,1,2,AUT
10049000,741,413,217,SGP
10049000,764,18,5,SWE
10049000,77,108,28,BHS
10049000,81,7,6,BGD
10049000,845,909969,6249500,URY
10049000,87,102077,100002,BEL
10049000,90,4,2,BMU
10049000,97,10701,22933,BOL
10049000,98,51,18,BIH
10051000,141,1634,508,KHM
10051000,145,53,80,CMR
10051000,158,794098,137916,CHL
10051000,160,1324,647,CHN
10051000,169,15678806,4548250,COL
10051000,177,16150,2400,COG
10051000,196,20,20,CRI
10051000,199,517,845,CUB
10051000,23,33,20,DEU
10051000,232,1,2,DNK
10051000,239,5706324,1703774,ECU
10051000,240,224050,100012,EGY
10051000,244,203927,54963,ARE
10051000,245,300,37,ESP
10051000,249,3746343,1328158,USA
10051000,267,1309851,441994,PHL
10051000,275,5809,689,FRA
10051000,289,623238,185121,GHA
10051000,317,1867450,586305,GTM
10051000,331,54769,5822,GNQ
10051000,337,176510,69994,GUY
10051000,345,2822584,810942,HND
10051000,351,248,126,HKG
10051000,361,199,64,IND
10051000,365,74,74,IDN
10051000,399,286672,98445,JPN
10051000,40,9668046,1994071,AGO
10051000,434,8,2,LBR
10051000,467,28,10,MLT
10051000,476,22,6,MHL
10051000,493,5916683,1549699,MEX
10051000,505,5200,2000,MOZ
10051000,528,271959,50202,NGA
10051000,573,28,19,NLD
10051000,576,377013,123818,PAK
10051000,580,715319,135628,PAN
10051000,586,13296065,4942975,PRY
10051000,589,3956842,1257282,PER
10051000,607,254,45,PRT
10051000,611,17,17,PRI
10051000,623,107,18,KEN
10051000,628,5,5,GBR
10051000,63,6065530,1661047,ARG
10051000,647,222473,106699,DOM
10051000,687,74308,21381,SLV
10051000,728,5486,831,SEN
10051000,741,83,52,SGP
10051000,756,112675,21856,ZAF
10051000,759,620320,111878,SDN
10051000,77,46,24,BHS
10051000,776,42438,9403,THA
10051000,780,139737,55861,TZA
10051000,815,65241,19645,TTO
10051000,827,14,7,TUR
10051000,833,82412,12184,UGA
10051000,845,21,14,URY
10051000,850,2639442,716971,VEN
10051000,88,98363,33229,BLZ
10051000,888,131680,26780,COD
10051000,890,431,324,ZMB
10051000,93,24,24,MMR
10051000,97,6375105,1916952,BOL
10059010,105,7,10,BRA
10059010,111,285118,765000,BGR
10059010,127,1569594,6181275,CPV
10059010,13,2982779,15291408,AFG
10059010,145,96981,208000,CMR
10059010,149,5724521,36322493,CAN
10059010,154,2931157,10921765,QAT
10059010,158,21246238,83632606,CHL
10059010,160,414426842,1883535922,CHN
10059010,161,958360690,4816116316,TWN
10059010,163,110,232,CYP
10059010,169,342534785,1343485394,COL
10059010,17,19252,26000,ALB
10059010,177,32240,78000,COG
10059010,187,2837255,17700000,PRK
10059010,190,1122134030,5535546946,KOR
10059010,193,26185,51000,CIV
10059010,196,211799355,1019386786,CRI
10059010,198,105160375,531821588,KWT
10059010,199,172648276,853270952,CUB
10059010,200,34217,104250,CUW
10059010,229,572614,1321795,BEN
10059010,23,3639931,21695992,DEU
10059010,232,92,136,DNK
10059010,239,36392809,155591608,ECU
10059010,240,1165893388,5949998677,EGY
10059010,244,218672629,1105776642,ARE
10059010,245,880843375,4523926312,ESP
10059010,246,863472,3089130,SVN
10059010,249,22085597,127008461,USA
10059010,253,533635,1165360,ETH
10059010,267,90366827,438065792,PHL
10059010,275,284451,548100,FRA
10059010,281,38684,52000,GAB
10059010,285,35383,77990,GMB
10059010,289,11389327,56443154,GHA
10059010,301,72564,152305,GRC
10059010,309,566140,2000000,GLP
10059010,317,259346263,1237385806,GTM
10059010,325,14389,58201,GUF
10059010,329,70028,130000,GIN
10059010,337,12037556,48037948,GUY
10059010,341,57,120,HTI
10059010,345,7007980,40410975,HND
10059010,351,348836,1748240,HKG
10059010,357,57314452,273664103,YEM
10059010,361,14127205,32525429,IND
10059010,365,490030134,2566658408,IDN
10059010,369,44575868,179923040,IRQ
10059010,372,1724554964,8066502067,IRN
10059010,375,273613990,1394327979,IRL
10059010,379,13907107,59499994,ISL
10059010,383,186688843,891477482,ISR
10059010,386,275079052,1301178766,ITA
10059010,391,30133063,126376999,JAM
10059010,399,1456710806,7360144400,JPN
10059010,40,17474593,91261892,AGO
10059010,403,284648876,1413256149,JOR
10059010,43,1504,2380,ATG
10059010,431,92996383,528532225,LBN
10059010,434,196343,383452,LBR
10059010,438,9534880,53621440,LBY
10059010,455,767167040,4000367983,MYS
10059010,464,268506,414000,MLI
10059010,467,115,347,MLT
10059010,474,845712495,4303329464,MAR
10059010,476,290,487,MHL
10059010,488,91152,479320,MRT
10059010,493,414018694,2122746400,MEX
10059010,498,22496,52000,MNE
10059010,517,6856503,12366628,NPL
10059010,521,180981701,840505823,NIC
10059010,525,407816,765000,NER
10059010,528,51744818,265566517,NGA
10059010,53,797667380,3875381847,SAU
10059010,538,8545235,49136072,NOR
10059010,556,96362304,485449387,OMN
10059010,566,106022,216000,UMI
10059010,573,369733940,1898424659,NLD
10059010,576,8334336,15547554,PAK
10059010,580,71444458,293211752,PAN
10059010,586,3161775,7279558,PRY
10059010,589,52639790,195534649,PER
10059010,59,490005980,2393605120,DZA
10059010,603,46405,100000,POL
10059010,607,469280344,2195184039,PRT
10059010,611,173531215,813103001,PRI
10059010,623,590045,1069735,KEN
10059010,628,98127255,435419787,GBR
10059010,63,1012995,4500000,ARG
10059010,64,228917,519840,ARM
10059010,647,714976177,3663304286,DOM
10059010,670,40926,78580,ROU
10059010,676,1071097,2598875,RUS
10059010,687,168924708,807312354,SLV
10059010,69,533929,1035000,AUS
10059010,705,5,11,VCT
10059010,715,390149,1500000,LCA
10059010,72,1524139,8327719,AUT
10059010,720,131,270,STP
10059010,728,53492239,245165813,SEN
10059010,73,68180,130000,AZE
10059010,735,174760,338000,SLE
10059010,741,1223320,4874736,SGP
10059010,744,912182,2102455,SYR
10059010,748,16642,26000,SOM
10059010,756,93553323,555785122,ZAF
10059010,759,86317,203820,SDN
10059010,767,4694167,21154620,CHE
10059010,77,34,70,BHS
10059010,770,3515587,12425263,SUR
10059010,776,2385750,7000000,THA
10059010,780,243263,337500,TZA
10059010,783,610691,858000,DJI
10059010,80,82691,129519,BHR
10059010,800,727251,1557605,TGO
10059010,81,364530837,2068816269,BGD
10059010,815,3366487,14798735,TTO
10059010,820,191356050,975617180,TUN
10059010,827,61606461,267651162,TUR
10059010,845,5337130,29017400,URY
10059010,850,257415037,1217747274,VEN
10059010,858,1287484928,6634860921,VNM
10059010,863,7339189,39585538,VGB
10059010,87,4671755,29167653,BEL
10059010,888,743309,2063110,COD
10059010,93,790502,4551649,MMR
10059010,97,903009,3956539,BOL
10059090,105,65,28,BRA
10059090,137,56,40,CYM
10059090,149,22,17,CAN
10059090,160,893,702,CHN
10059090,161,11,15,TWN
10059090,163,1585,1169,CYP
10059090,190,20,31,KOR
10059090,23,180,149,DEU
10059090,232,538,377,DNK
10059090,245,78,40,ESP
10059090,249,931,420,USA
10059090,267,230,222,PHL
10059090,275,314,140,FRA
10059090,281,20,20,GAB
10059090,293,33,13,GIB
10059090,301,1707,1468,GRC
10059090,331,145,60,GNQ
10059090,337,238,220,GUY
10059090,351,3108,2056,HKG
10059090,359,101,27,IMN
10059090,361,16,25,IND
10059090,372,32,32,IRN
10059090,386,57,58,ITA
10059090,399,329,205,JPN
10059090,427,18,25,LVA
10059090,43,194,153,ATG
10059090,431,37,20,LBN
10059090,434,6254,3832,LBR
10059090,445,7,3,LUX
10059090,467,2253,1242,MLT
10059090,476,5852,3298,MHL
10059090,53,30,10,SAU
10059090,538,2168,840,NOR
10059090,573,670,336,NLD
10059090,580,5689,3256,PAN
10059090,586,234,157,PRY
10059090,589,1,25,PER
10059090,593,20,26,PCN
10059090,603,102,56,POL
10059090,607,306,248,PRT
10059090,628,821,445,GBR
10059090,69,5,3,AUS
10059090,72,11,15,AUT
10059090,741,3016,1790,SGP
10059090,767,62,47,CHE
10059090,77,1259,659,BHS
10059090,770,17,12,SUR
10059090,776,265,116,THA
10059090,827,43,15,TUR
10059090,83,77,35,BRB
10059090,845,17,26,URY
10059090,858,2,2,VNM
10059090,866,12,20,VIR
10059090,87,382,245,BEL
10059090,90,72,53,BMU
10061010,160,186,200,CHN
10061010,169,3562,894,COL
10061010,249,55,107,USA
10061010,331,1904,532,GNQ
10061010,337,50841,75150,GUY
10061010,361,38,33,IND
10061010,386,70,50,ITA
10061010,399,229,300,JPN
10061010,40,117444,74909,AGO
10061010,476,68,24,MHL
10061010,580,535,650,PAN
10061010,586,24467,31211,PRY
10061010,63,45464,26080,ARG
10061010,759,9288,2400,SDN
10061010,780,1472,2000,TZA
10061010,827,305,300,TUR
10061010,845,350861,105372,URY
10061010,888,8198,1500,COD
10061091,105,29,8,BRA
10061091,163,417,135,CYP
10061091,23,1,2,DEU
10061091,232,189,73,DNK
10061091,275,1098,255,FRA
10061091,301,631,380,GRC
10061091,337,72,90,GUY
10061091,351,1303,605,HKG
10061091,399,57,27,JPN
10061091,43,3,1,ATG
10061091,434,1424,516,LBR
10061091,445,33,30,LUX
10061091,467,458,279,MLT
10061091,476,2651,1091,MHL
10061091,538,721,262,NOR
10061091,573,929,250,NLD
10061091,580,1185,513,PAN
10061091,607,21,6,PRT
10061091,628,384,168,GBR
10061091,741,1279,637,SGP
10061091,77,677,220,BHS
10061091,87,281,119,BEL
10061092,137,1280,895,CYM
10061092,158,147,250,CHL
10061092,160,4342,4440,CHN
10061092,163,18459,12797,CYP
10061092,183,396,165,COK
10061092,190,1130,965,KOR
10061092,195,524,300,HRV
10061092,23,3494,2655,DEU
10061092,232,3027,2047,DNK
10061092,244,11,10,ARE
10061092,245,813,680,ESP
10061092,267,5821,6082,PHL
10061092,293,24,18,GIB
10061092,301,8367,6129,GRC
10061092,334,408,210,GNB
10061092,351,24562,15919,HKG
10061092,359,4257,3015,IMN
10061092,361,90,100,IND
10061092,372,129,100,IRN
10061092,386,204,140,ITA
10061092,399,3846,3868,JPN
10061092,43,2742,1240,ATG
10061092,434,59943,37670,LBR
10061092,445,711,609,LUX
10061092,455,74,60,MYS
10061092,467,20617,13994,MLT
10061092,476,77571,47897,MHL
10061092,493,280,240,MEX
10061092,495,213,210,MCO
10061092,498,15,15,MNE
10061092,538,2855,1631,NOR
10061092,551,78,40,VUT
10061092,556,58,60,OMN
10061092,573,1870,1475,NLD
10061092,576,233,100,PAK
10061092,580,66599,46778,PAN
10061092,586,208,100,PRY
10061092,603,123,40,POL
10061092,607,5687,3660,PRT
10061092,628,9245,6985,GBR
10061092,63,1533,960,ARG
10061092,676,51,20,RUS
10061092,705,49,25,VCT
10061092,741,27013,18088,SGP
10061092,764,692,620,SWE
10061092,767,449,420,CHE
10061092,77,11900,8688,BHS
10061092,776,2581,1455,THA
10061092,780,1088,800,TZA
10061092,80,421,150,BHR
10061092,81,758,650,BGD
10061092,827,856,635,TUR
10061092,83,577,325,BRB
10061092,850,7,22,VEN
10061092,87,430,500,BEL
10061092,88,369,270,BLZ
10061092,90,280,146,BMU
10062010,105,449,216,BRA
10062010,127,692,990,CPV
10062010,137,663,228,CYM
10062010,149,415,501,CAN
10062010,160,5835,3715,CHN
10062010,161,162,50,TWN
10062010,163,9246,8435,CYP
10062010,173,36,50,COM
10062010,200,239,250,CUW
10062010,23,3229,2763,DEU
10062010,232,9769,2398,DNK
10062010,240,314,200,EGY
10062010,244,5,8,ARE
10062010,249,2415,1944,USA
10062010,255,88,20,FLK
10062010,267,1447,1150,PHL
10062010,275,82,23,FRA
10062010,281,813,150,GAB
10062010,293,219,200,GIB
10062010,301,4683,2339,GRC
10062010,325,1207,1531,GUF
10062010,337,94,150,GUY
10062010,351,23248,14114,HKG
10062010,359,402,81,IMN
10062010,361,1010,175,IND
10062010,375,216,200,IRL
10062010,386,682,298,ITA
10062010,399,1053,409,JPN
10062010,40,146,448,AGO
10062010,403,107,210,JOR
10062010,43,6588,1812,ATG
10062010,434,76541,52467,LBR
10062010,438,136,200,LBY
10062010,445,287,130,LUX
10062010,455,1783,307,MYS
10062010,467,16859,13153,MLT
10062010,476,67364,40753,MHL
10062010,477,385,60,MTQ
10062010,53,115,250,SAU
10062010,538,33758,8759,NOR
10062010,548,314,168,NZL
10062010,551,137,80,VUT
10062010,573,3021,1158,NLD
10062010,575,37,60,PLW
10062010,580,43836,26417,PAN
10062010,586,8444,9628,PRY
10062010,589,7,30,PER
10062010,607,2915,2370,PRT
10062010,628,9764,3975,GBR
10062010,63,1319,3367,ARG
10062010,647,136,150,DOM
10062010,705,258,50,VCT
10062010,72,110,205,AUT
10062010,741,33270,13333,SGP
10062010,756,1,4,ZAF
10062010,767,768,320,CHE
10062010,77,34763,13735,BHS
10062010,776,1948,670,THA
10062010,80,158,20,BHR
10062010,800,168,255,TGO
10062010,81,452,450,BGD
10062010,827,161,150,TUR
10062010,83,1872,865,BRB
10062010,845,564,485,URY
10062010,850,5,8,VEN
10062010,858,566,1215,VNM
10062010,87,449,280,BEL
10062010,88,144,290,BLZ
10062010,90,526,160,BMU
10062010,97,504,900,BOL
10062010,990,448,580,ZZZ
10062020,105,1366,605,BRA
10062020,127,362,168,CPV
10062020,137,906,490,CYM
10062020,149,74,30,CAN
10062020,154,385,110,QAT
10062020,158,337,250,CHL
10062020,160,5440,3201,CHN
10062020,163,10253,8685,CYP
10062020,190,332,350,KOR
10062020,23,4632,4570,DEU
10062020,232,5559,4435,DNK
10062020,244,440,368,ARE
10062020,249,5010,2338,USA
10062020,267,3469,2358,PHL
10062020,275,1877,1179,FRA
10062020,281,21,20,GAB
10062020,293,519,360,GIB
10062020,301,12076,11075,GRC
10062020,337,195,300,GUY
10062020,351,24912,14160,HKG
10062020,359,486,322,IMN
10062020,361,367,230,IND
10062020,386,675,520,ITA
10062020,399,4916,3815,JPN
10062020,40,2947,1388,AGO
10062020,403,577,580,JOR
10062020,427,630,620,LVA
10062020,43,7312,4804,ATG
10062020,431,1041,900,LBN
10062020,434,39639,22898,LBR
10062020,442,38,20,LTU
10062020,455,1245,860,MYS
10062020,467,15732,10629,MLT
10062020,476,48487,29515,MHL
10062020,477,63,50,MTQ
10062020,495,115,150,MCO
10062020,498,31,30,MNE
10062020,505,2611,999,MOZ
10062020,53,398,215,SAU
10062020,538,9250,7780,NOR
10062020,551,16,20,VUT
10062020,573,952,748,NLD
10062020,575,78,20,PLW
10062020,576,8,5,PAK
10062020,580,50834,29215,PAN
10062020,586,6588,8149,PRY
10062020,589,119,120,PER
10062020,603,85,90,POL
10062020,607,4169,2383,PRT
10062020,628,5172,3042,GBR
10062020,63,960,1350,ARG
10062020,705,904,295,VCT
10062020,72,257,225,AUT
10062020,741,28141,17896,SGP
10062020,756,345,250,ZAF
10062020,767,548,303,CHE
10062020,77,11206,7693,BHS
10062020,776,758,400,THA
10062020,800,405,100,TGO
10062020,81,1168,920,BGD
10062020,827,1167,1087,TUR
10062020,83,891,375,BRB
10062020,845,4339,1225,URY
10062020,87,5148,3300,BEL
10062020,88,76,100,BLZ
10062020,90,916,730,BMU
10062020,97,176,300,BOL
10062020,98,1739,1476,BIH
10063011,105,7089,9328,BRA
10063011,111,422,490,BGR
10063011,127,1439440,2477827,CPV
10063011,13,15281,23125,AFG
10063011,137,14500,26860,CYM
10063011,149,957114,1800627,CAN
10063011,151,56369,99600,ESP
10063011,158,1121489,2029252,CHL
10063011,160,8543,7707,CHN
10063011,161,78,50,TWN
10063011,163,36765,64985,CYP
10063011,169,385,250,COL
10063011,173,17,20,COM
10063011,190,932,920,KOR
10063011,195,289,320,HRV
10063011,196,38547,75000,CRI
10063011,198,1726,1020,KWT
10063011,199,51957,63556,CUB
10063011,200,1789615,3124320,CUW
10063011,229,75452,137800,BEN
10063011,23,301128,304779,DEU
10063011,232,6318,7496,DNK
10063011,235,150479,248862,DMA
10063011,239,96,50,ECU
10063011,244,328913,660022,ARE
10063011,245,326197,573206,ESP
10063011,249,1448332,2317864,USA
10063011,267,5820,5716,PHL
10063011,275,1291,1363,FRA
10063011,281,33,30,GAB
10063011,293,1746,2060,GIB
10063011,297,112945,211030,GRD
10063011,301,53475,57837,GRC
10063011,317,445832,925450,GTM
10063011,325,23038,49639,GUF
10063011,331,84656,165200,GNQ
10063011,334,32419,24102,GNB
10063011,337,4951,5940,GUY
10063011,341,30900,50000,HTI
10063011,351,43801,55398,HKG
10063011,359,1506,1605,IMN
10063011,361,4348,5192,IND
10063011,369,34646,75470,IRQ
10063011,372,137,203,IRN
10063011,375,2058,3350,IRL
10063011,379,25,30,ISL
10063011,383,338587,568900,ISR
10063011,386,3323,5893,ITA
10063011,391,78664,101756,JAM
10063011,399,18584,25475,JPN
10063011,40,1417691,2402750,AGO
10063011,403,119569,156830,JOR
10063011,41,9136,10710,AIA
10063011,43,1512519,2497694,ATG
10063011,431,597707,1013515,LBN
10063011,434,82135,106673,LBR
10063011,438,199777,330300,LBY
10063011,442,1112309,1706290,LTU
10063011,455,49,50,MYS
10063011,467,65897,91904,MLT
10063011,47,1111168,2071569,ANT
10063011,474,57,30,MAR
10063011,476,109307,138507,MHL
10063011,488,22689,49980,MRT
10063011,489,32101,50000,ZZZ
10063011,493,124543,229209,MEX
10063011,495,108,150,MCO
10063011,505,56853,85100,MOZ
10063011,507,87382,160630,NAM
10063011,528,33268,50040,NGA
10063011,53,43917,74240,SAU
10063011,538,11550,11660,NOR
10063011,566,5779,12500,UMI
10063011,573,55958,88867,NLD
10063011,575,1372,1550,PLW
10063011,578,301321,508260,PSE
10063011,580,1461267,2550432,PAN
10063011,586,1241880,2173440,PRY
10063011,589,69863,132505,PER
10063011,59,466826,763218,DZA
